timestamp,service_id,current_pod_count,request_rate_rps,latency_p95_ms,latency_p99_ms,error_rate_percent,queue_length,pod_cpu_usage_percent_avg,pod_cpu_usage_percent_p95,pod_memory_usage_mb_avg,pod_memory_usage_mb_p95,hour_sin,hour_cos,day_sin,day_cos,mesh_inbound_rps,mesh_inbound_latency_p95,mesh_inbound_error_rate,degree_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality
2025-11-01 00:14:00,Order,2,71.7,66.96,84.68,0.0357,0.0,28.28,33.67,556.8,598.6,0.0,1.0,-0.9749,-0.2225,69.57,65.11,0.0369,0.8129,0.8801,0.6215,0.6912
2025-11-01 00:15:00,Order,2,71.21,66.69,88.29,0.0357,0.0,27.24,31.05,529.5,592.0,0.0,1.0,-0.9749,-0.2225,71.45,63.16,0.0383,0.8031,0.8664,0.6463,0.697
2025-11-01 00:16:00,Order,2,69.11,67.9,93.39,0.0356,0.0,27.56,33.81,563.5,615.9,0.0,1.0,-0.9749,-0.2225,69.62,62.58,0.0384,0.8299,0.9022,0.6102,0.7346
2025-11-01 00:17:00,Order,2,68.14,69.86,95.78,0.0357,0.0,23.09,26.37,576.3,621.2,0.0,1.0,-0.9749,-0.2225,67.58,64.75,0.0378,0.8478,0.8789,0.6804,0.7266
2025-11-01 00:18:00,Order,2,72.36,74.59,93.47,0.0359,0.0,30.92,37.46,566.2,608.2,0.0,1.0,-0.9749,-0.2225,73.7,72.73,0.0333,0.8271,0.8868,0.6734,0.7355
2025-11-01 00:19:00,Order,2,80.36,81.26,111.14,0.0363,0.0,35.59,43.07,574.4,614.5,0.0,1.0,-0.9749,-0.2225,79.76,75.46,0.0332,0.8394,0.8952,0.6116,0.7259
2025-11-01 00:20:00,Order,2,84.98,84.82,107.04,0.0364,0.0,32.3,38.89,602.6,633.0,0.0,1.0,-0.9749,-0.2225,82.73,79.05,0.0351,0.8767,0.8815,0.648,0.7447
2025-11-01 00:21:00,Order,2,81.46,79.66,101.83,0.0363,0.0,34.09,41.32,558.4,616.2,0.0,1.0,-0.9749,-0.2225,79.09,77.7,0.0329,0.8249,0.8823,0.6458,0.7355
2025-11-01 00:22:00,Order,2,73.74,70.17,98.18,0.036,0.0,31.01,35.68,515.2,560.5,0.0,1.0,-0.9749,-0.2225,72.76,68.27,0.0396,0.8358,0.8756,0.6411,0.7389
2025-11-01 00:23:00,Order,2,68.54,63.6,83.28,0.0356,0.0,26.01,29.62,538.9,594.8,0.0,1.0,-0.9749,-0.2225,67.11,59.04,0.036,0.8166,0.8914,0.6462,0.7129
2025-11-01 00:24:00,Order,2,66.99,61.27,74.88,0.0354,0.0,31.3,34.56,605.1,668.1,0.0,1.0,-0.9749,-0.2225,65.89,57.72,0.0351,0.8538,0.9104,0.6547,0.7036
2025-11-01 00:25:00,Order,2,65.84,61.35,84.37,0.0352,0.0,29.33,33.72,559.8,616.0,0.0,1.0,-0.9749,-0.2225,65.9,57.24,0.038,0.7625,0.8958,0.6601,0.7178
2025-11-01 00:26:00,Order,2,63.39,60.77,74.65,0.0351,0.0,28.69,32.5,540.7,592.4,0.0,1.0,-0.9749,-0.2225,62.88,56.99,0.0364,0.7715,0.8627,0.6664,0.6913
2025-11-01 00:27:00,Order,2,61.05,58.23,79.37,0.035,0.0,30.37,37.88,557.8,603.5,0.0,1.0,-0.9749,-0.2225,62.58,56.98,0.0353,0.8196,0.9033,0.6353,0.7067
2025-11-01 00:28:00,Order,2,61.48,57.11,76.43,0.0351,0.0,28.18,35.15,543.1,584.4,0.0,1.0,-0.9749,-0.2225,61.87,54.07,0.0317,0.8572,0.8617,0.6456,0.7068
2025-11-01 00:29:00,Order,2,65.71,60.32,72.5,0.0353,0.0,27.53,30.87,579.7,629.8,0.0,1.0,-0.9749,-0.2225,64.42,58.39,0.0345,0.7998,0.8661,0.6331,0.6941
2025-11-01 00:30:00,Order,2,70.88,64.52,81.55,0.0355,0.0,29.63,35.76,588.8,619.4,0.0,1.0,-0.9749,-0.2225,70.52,61.5,0.0329,0.832,0.8981,0.61,0.7002
2025-11-01 00:31:00,Order,2,72.76,66.04,86.41,0.0356,0.0,30.21,34.51,527.6,585.8,0.0,1.0,-0.9749,-0.2225,73.69,61.39,0.0347,0.8,0.8907,0.6199,0.7059
2025-11-01 00:32:00,Order,2,70.74,68.04,87.94,0.0356,0.0,29.62,36.23,581.5,620.6,0.0,1.0,-0.9749,-0.2225,69.84,66.26,0.0364,0.807,0.8528,0.6187,0.7055
2025-11-01 00:33:00,Order,2,68.06,68.5,95.24,0.0355,0.0,27.63,34.49,558.6,600.0,0.0,1.0,-0.9749,-0.2225,68.38,64.96,0.0345,0.8275,0.8834,0.6412,0.726
2025-11-01 00:34:00,Order,2,66.76,63.52,76.55,0.0353,0.0,30.65,37.67,564.3,605.7,0.0,1.0,-0.9749,-0.2225,68.27,60.66,0.034,0.7899,0.8884,0.629,0.7269
2025-11-01 00:35:00,Order,2,64.76,57.97,71.18,0.0351,0.0,25.12,30.03,565.7,630.4,0.0,1.0,-0.9749,-0.2225,64.0,54.1,0.0349,0.8177,0.8713,0.6094,0.724
2025-11-01 00:36:00,Order,2,59.79,54.85,74.31,0.0348,0.0,26.69,32.23,554.3,612.6,0.0,1.0,-0.9749,-0.2225,60.56,53.03,0.0352,0.8276,0.8659,0.6221,0.6784
2025-11-01 00:37:00,Order,2,54.02,53.62,72.19,0.0345,0.0,22.36,27.49,561.7,612.7,0.0,1.0,-0.9749,-0.2225,53.33,51.09,0.0362,0.8327,0.8619,0.6405,0.7403
2025-11-01 00:38:00,Order,2,52.27,53.01,73.16,0.0344,0.0,26.07,31.09,580.7,620.2,0.0,1.0,-0.9749,-0.2225,50.89,50.19,0.0378,0.8296,0.8698,0.6219,0.7264
2025-11-01 00:39:00,Order,2,55.95,56.36,78.5,0.0346,0.0,25.76,31.51,551.9,589.9,0.0,1.0,-0.9749,-0.2225,55.14,53.88,0.0347,0.869,0.8726,0.6782,0.7484
2025-11-01 00:40:00,Order,2,62.0,63.63,81.22,0.0349,0.0,30.08,37.15,586.5,619.3,0.0,1.0,-0.9749,-0.2225,60.24,60.39,0.033,0.8047,0.8807,0.6615,0.7068
2025-11-01 00:41:00,Order,2,66.69,68.31,85.21,0.0352,0.0,28.22,32.83,559.2,612.8,0.0,1.0,-0.9749,-0.2225,66.23,64.69,0.0385,0.8193,0.8832,0.647,0.704
2025-11-01 00:42:00,Order,2,67.99,68.03,82.33,0.0353,0.0,31.38,38.72,539.2,572.6,0.0,1.0,-0.9749,-0.2225,67.39,65.0,0.0363,0.8448,0.8752,0.642,0.7364
2025-11-01 00:43:00,Order,2,65.87,64.45,79.42,0.0352,0.0,25.3,29.23,542.5,584.4,0.0,1.0,-0.9749,-0.2225,64.74,61.95,0.0387,0.8311,0.8807,0.6377,0.7466
2025-11-01 00:44:00,Order,2,63.15,61.24,79.19,0.0352,0.0,25.99,30.97,501.4,542.5,0.0,1.0,-0.9749,-0.2225,62.37,59.0,0.0355,0.8447,0.8694,0.6412,0.7097
2025-11-01 00:45:00,Order,2,63.84,61.02,81.34,0.0353,0.0,26.44,31.8,577.2,645.3,0.0,1.0,-0.9749,-0.2225,65.51,59.64,0.0321,0.8211,0.8548,0.6669,0.7192
2025-11-01 00:46:00,Order,2,68.24,62.18,79.76,0.0355,0.0,29.6,34.18,560.6,611.1,0.0,1.0,-0.9749,-0.2225,66.84,58.69,0.039,0.86,0.8803,0.6158,0.7523
2025-11-01 00:47:00,Order,2,72.62,62.96,83.26,0.0357,0.0,33.07,37.64,592.1,658.6,0.0,1.0,-0.9749,-0.2225,73.08,61.63,0.0375,0.82,0.8623,0.6638,0.7555
2025-11-01 00:48:00,Order,2,74.13,63.71,85.46,0.0358,0.0,29.57,35.52,565.8,616.9,0.0,1.0,-0.9749,-0.2225,72.26,59.92,0.0393,0.8042,0.894,0.6342,0.7134
2025-11-01 00:49:00,Order,2,72.86,64.98,85.17,0.0357,0.0,28.92,34.06,537.2,598.4,0.0,1.0,-0.9749,-0.2225,73.34,60.59,0.0364,0.8036,0.8786,0.6379,0.7213
2025-11-01 00:50:00,Order,2,69.78,66.65,87.79,0.0356,0.0,30.31,34.45,555.9,608.5,0.0,1.0,-0.9749,-0.2225,70.45,63.37,0.0333,0.8363,0.8565,0.6349,0.7211
2025-11-01 00:51:00,Order,2,66.84,66.12,83.92,0.0355,0.0,25.51,28.39,528.6,582.9,0.0,1.0,-0.9749,-0.2225,66.2,62.31,0.0344,0.8289,0.8923,0.6522,0.7338
2025-11-01 00:52:00,Order,2,67.4,64.42,86.61,0.0356,0.0,25.98,31.32,568.7,607.6,0.0,1.0,-0.9749,-0.2225,66.99,59.31,0.0333,0.8063,0.877,0.6134,0.722
2025-11-01 00:53:00,Order,2,72.05,67.32,82.0,0.0358,0.0,28.53,35.24,514.0,554.9,0.0,1.0,-0.9749,-0.2225,74.2,65.34,0.0344,0.8152,0.8795,0.7077,0.7278
2025-11-01 00:54:00,Order,2,76.7,71.46,86.09,0.036,0.0,29.42,32.57,566.7,596.0,0.0,1.0,-0.9749,-0.2225,74.61,66.19,0.0337,0.847,0.8613,0.6261,0.7358
2025-11-01 00:55:00,Order,2,77.49,71.26,98.43,0.0361,0.0,29.8,35.39,507.6,539.2,0.0,1.0,-0.9749,-0.2225,75.55,68.02,0.0346,0.8392,0.9055,0.6548,0.7111
2025-11-01 00:56:00,Order,2,75.25,71.58,93.39,0.036,0.0,30.84,36.65,581.5,631.6,0.0,1.0,-0.9749,-0.2225,76.63,70.15,0.0363,0.8242,0.8851,0.6248,0.7444
2025-11-01 00:57:00,Order,2,73.34,75.08,96.8,0.0359,0.0,26.55,31.41,586.0,655.6,0.0,1.0,-0.9749,-0.2225,74.56,71.83,0.0354,0.8167,0.8807,0.673,0.7137
2025-11-01 00:58:00,Order,2,72.43,76.17,103.97,0.0357,0.0,30.02,33.81,570.0,631.9,0.0,1.0,-0.9749,-0.2225,71.89,72.93,0.0372,0.8376,0.883,0.6748,0.7331
2025-11-01 00:59:00,Order,2,70.14,72.43,97.08,0.0355,0.0,30.76,35.34,628.7,662.7,0.0,1.0,-0.9749,-0.2225,71.62,69.5,0.0365,0.8477,0.8658,0.6532,0.7259
2025-11-01 01:00:00,Order,2,65.81,67.36,87.41,0.0353,0.0,27.68,30.76,560.0,622.9,0.2588,0.9659,-0.9749,-0.2225,65.54,64.74,0.0356,0.853,0.888,0.6201,0.7116
2025-11-01 01:01:00,Order,2,61.87,62.6,81.72,0.0351,0.0,29.25,35.23,575.1,627.4,0.2588,0.9659,-0.9749,-0.2225,61.37,59.33,0.0379,0.8306,0.8571,0.592,0.7135
2025-11-01 01:02:00,Order,2,60.44,59.66,74.24,0.035,0.0,24.1,29.98,564.0,623.3,0.2588,0.9659,-0.9749,-0.2225,61.88,57.76,0.0345,0.8249,0.8967,0.7002,0.7161
2025-11-01 01:03:00,Order,2,61.81,59.51,73.46,0.035,0.0,26.37,29.71,543.5,589.9,0.2588,0.9659,-0.9749,-0.2225,62.87,55.38,0.0317,0.8414,0.8863,0.6266,0.6903
2025-11-01 01:04:00,Order,2,65.09,61.94,82.25,0.0352,0.0,26.71,32.14,564.3,616.6,0.2588,0.9659,-0.9749,-0.2225,66.96,60.66,0.0328,0.8364,0.891,0.6813,0.7304
2025-11-01 01:05:00,Order,2,68.0,64.69,82.74,0.0353,0.0,30.07,37.15,543.6,577.0,0.2588,0.9659,-0.9749,-0.2225,69.41,62.04,0.0385,0.8095,0.8422,0.6838,0.6928
2025-11-01 01:06:00,Order,2,68.23,64.28,78.31,0.0353,0.0,30.21,37.73,527.4,555.9,0.2588,0.9659,-0.9749,-0.2225,70.04,60.0,0.0373,0.8179,0.8857,0.6264,0.7262
2025-11-01 01:07:00,Order,2,65.04,60.57,83.13,0.0352,0.0,23.93,26.62,556.5,605.6,0.2588,0.9659,-0.9749,-0.2225,66.08,57.76,0.0338,0.8264,0.8942,0.6803,0.7284
2025-11-01 01:08:00,Order,2,59.54,58.16,70.64,0.0354,0.0,26.71,31.95,556.4,601.4,0.2588,0.9659,-0.9749,-0.2225,58.3,56.07,0.0367,0.8536,0.8868,0.5979,0.707
2025-11-01 01:09:00,Order,2,55.12,59.49,72.8,0.0381,0.0,25.95,31.59,551.6,586.6,0.2588,0.9659,-0.9749,-0.2225,54.16,57.86,0.0377,0.7856,0.8978,0.6559,0.7381
2025-11-01 01:10:00,Order,2,54.82,60.83,78.72,0.0444,0.0,22.99,26.66,540.3,590.3,0.2588,0.9659,-0.9749,-0.2225,54.73,57.57,0.04,0.8722,0.8711,0.6067,0.724
2025-11-01 01:11:00,Order,2,57.09,60.25,74.95,0.0486,0.0,24.4,26.93,617.4,668.5,0.2588,0.9659,-0.9749,-0.2225,56.35,58.95,0.0443,0.8443,0.8725,0.592,0.7343
2025-11-01 01:12:00,Order,2,58.21,58.02,73.94,0.0445,0.0,27.9,31.47,542.7,583.0,0.2588,0.9659,-0.9749,-0.2225,58.21,53.39,0.0451,0.8642,0.8886,0.689,0.735
2025-11-01 01:13:00,Order,2,57.45,56.69,71.93,0.0381,0.0,29.67,36.76,571.0,616.6,0.2588,0.9659,-0.9749,-0.2225,56.73,53.22,0.0347,0.8447,0.8878,0.5948,0.7414
2025-11-01 01:14:00,Order,2,56.49,56.25,78.12,0.0351,0.0,23.7,28.84,576.0,607.9,0.2588,0.9659,-0.9749,-0.2225,57.57,52.68,0.0368,0.7891,0.9081,0.6762,0.7427
2025-11-01 01:15:00,Order,2,55.76,54.82,75.24,0.0344,0.0,24.36,28.2,542.9,593.3,0.2588,0.9659,-0.9749,-0.2225,55.99,53.15,0.0356,0.8582,0.9014,0.6403,0.728
2025-11-01 01:16:00,Order,2,53.47,53.19,64.1,0.0342,0.0,22.57,25.15,550.2,584.3,0.2588,0.9659,-0.9749,-0.2225,54.67,49.29,0.0365,0.7917,0.8615,0.6138,0.7238
2025-11-01 01:17:00,Order,2,48.67,53.59,69.53,0.0339,0.0,24.88,27.95,592.1,634.5,0.2588,0.9659,-0.9749,-0.2225,48.81,51.68,0.0335,0.8,0.8892,0.6193,0.7056
2025-11-01 01:18:00,Order,2,43.31,53.4,68.06,0.0336,0.0,20.98,25.91,601.3,639.6,0.2588,0.9659,-0.9749,-0.2225,42.83,50.28,0.0343,0.8398,0.8783,0.6306,0.7321
2025-11-01 01:19:00,Order,2,40.68,50.81,70.4,0.0335,0.0,22.29,26.01,560.2,595.8,0.2588,0.9659,-0.9749,-0.2225,40.81,48.87,0.0339,0.8638,0.8554,0.6223,0.7147
2025-11-01 01:20:00,Order,2,42.28,49.15,66.68,0.0335,0.0,24.25,28.55,586.7,639.6,0.2588,0.9659,-0.9749,-0.2225,42.24,47.96,0.0313,0.8168,0.8916,0.6599,0.7226
2025-11-01 01:21:00,Order,2,46.52,49.99,68.11,0.0337,0.0,24.46,27.89,568.2,609.9,0.2588,0.9659,-0.9749,-0.2225,47.15,48.98,0.0366,0.8191,0.8743,0.7188,0.7562
2025-11-01 01:22:00,Order,2,50.73,51.69,62.18,0.034,0.0,19.48,24.26,535.9,568.4,0.2588,0.9659,-0.9749,-0.2225,51.7,48.17,0.0365,0.8729,0.8902,0.64,0.7079
2025-11-01 01:23:00,Order,2,53.47,53.18,74.02,0.0342,0.0,21.84,26.9,522.4,576.4,0.2588,0.9659,-0.9749,-0.2225,51.97,49.89,0.0375,0.8533,0.8633,0.5914,0.7386
2025-11-01 01:24:00,Order,2,54.64,53.7,68.25,0.0343,0.0,25.82,31.89,554.8,615.9,0.2588,0.9659,-0.9749,-0.2225,54.73,50.17,0.0362,0.8325,0.8583,0.6264,0.717
2025-11-01 01:25:00,Order,2,54.97,53.1,67.77,0.0344,0.0,24.45,29.34,547.2,595.0,0.2588,0.9659,-0.9749,-0.2225,54.99,50.31,0.0321,0.8471,0.8822,0.6698,0.727
2025-11-01 01:26:00,Order,2,55.72,55.35,77.1,0.0345,0.0,26.65,33.29,523.1,557.1,0.2588,0.9659,-0.9749,-0.2225,56.02,50.93,0.0344,0.842,0.8585,0.6934,0.7093
2025-11-01 01:27:00,Order,2,57.3,58.69,74.78,0.0345,0.0,23.59,28.26,563.9,614.1,0.2588,0.9659,-0.9749,-0.2225,57.52,55.21,0.0311,0.8187,0.862,0.6208,0.7114
2025-11-01 01:28:00,Order,2,58.03,57.92,70.89,0.0345,0.0,26.48,31.51,533.1,578.4,0.2588,0.9659,-0.9749,-0.2225,59.36,56.09,0.0339,0.838,0.871,0.6218,0.6987
2025-11-01 01:29:00,Order,2,56.44,55.4,71.99,0.0345,0.0,26.36,30.5,557.6,608.9,0.2588,0.9659,-0.9749,-0.2225,57.82,51.6,0.0358,0.8623,0.8756,0.5837,0.7271
2025-11-01 01:30:00,Order,2,53.96,53.97,68.87,0.0344,0.0,23.41,25.87,559.9,605.6,0.2588,0.9659,-0.9749,-0.2225,55.04,49.7,0.0377,0.8516,0.8585,0.649,0.7045
2025-11-01 01:31:00,Order,2,52.49,53.39,73.27,0.0343,0.0,24.5,27.03,593.2,652.4,0.2588,0.9659,-0.9749,-0.2225,53.18,49.88,0.0319,0.8565,0.8981,0.6396,0.6869
2025-11-01 01:32:00,Order,2,52.35,54.05,75.28,0.0342,0.0,25.76,30.7,521.3,572.0,0.2588,0.9659,-0.9749,-0.2225,53.73,49.97,0.0324,0.8009,0.874,0.6818,0.7477
2025-11-01 01:33:00,Order,2,53.38,55.78,68.48,0.0343,0.0,22.46,26.24,569.1,631.1,0.2588,0.9659,-0.9749,-0.2225,53.52,53.03,0.0376,0.8605,0.8824,0.6512,0.7588
2025-11-01 01:34:00,Order,2,54.83,56.65,73.14,0.0344,0.0,28.26,33.54,607.5,676.1,0.2588,0.9659,-0.9749,-0.2225,55.18,55.09,0.0335,0.8165,0.9014,0.632,0.7079
2025-11-01 01:35:00,Order,2,56.03,55.62,76.35,0.0345,0.0,25.71,30.6,548.4,581.9,0.2588,0.9659,-0.9749,-0.2225,54.65,51.18,0.0355,0.8305,0.8725,0.6226,0.7226
2025-11-01 01:36:00,Order,2,57.38,56.01,75.79,0.0346,0.0,25.22,29.46,561.1,597.3,0.2588,0.9659,-0.9749,-0.2225,57.95,52.06,0.0355,0.809,0.8973,0.6881,0.7592
2025-11-01 01:37:00,Order,2,59.05,59.63,73.54,0.0347,0.0,23.69,27.55,547.9,578.1,0.2588,0.9659,-0.9749,-0.2225,58.42,56.95,0.0339,0.8331,0.865,0.6427,0.7282
2025-11-01 01:38:00,Order,2,59.92,62.6,81.74,0.0347,0.0,30.12,35.87,535.8,580.7,0.2588,0.9659,-0.9749,-0.2225,59.46,59.29,0.0315,0.8178,0.8864,0.6749,0.7483
2025-11-01 01:39:00,Order,2,59.31,60.09,77.63,0.0347,0.0,24.69,28.32,562.3,629.3,0.2588,0.9659,-0.9749,-0.2225,60.53,58.78,0.0333,0.8322,0.8771,0.6753,0.7326
2025-11-01 01:40:00,Order,2,58.58,57.59,78.71,0.0348,0.0,22.81,27.24,552.4,590.0,0.2588,0.9659,-0.9749,-0.2225,57.24,54.11,0.0355,0.8415,0.8979,0.6696,0.6912
2025-11-01 01:41:00,Order,2,59.44,58.14,78.79,0.0348,0.0,29.16,36.28,538.8,580.2,0.2588,0.9659,-0.9749,-0.2225,59.77,55.8,0.0325,0.8033,0.8826,0.6223,0.7138
2025-11-01 01:42:00,Order,2,61.9,60.21,75.53,0.035,0.0,19.6,24.45,557.7,597.9,0.2588,0.9659,-0.9749,-0.2225,60.13,56.66,0.0321,0.8127,0.8859,0.6268,0.7242
2025-11-01 01:43:00,Order,2,64.92,61.84,81.8,0.0352,0.0,26.97,32.03,535.5,563.8,0.2588,0.9659,-0.9749,-0.2225,64.42,58.46,0.0386,0.8394,0.8841,0.6654,0.6954
2025-11-01 01:44:00,Order,2,67.42,63.24,84.91,0.0353,0.0,31.21,34.65,561.7,591.8,0.2588,0.9659,-0.9749,-0.2225,69.32,59.12,0.0357,0.813,0.8969,0.6707,0.6982
2025-11-01 01:45:00,Order,2,68.74,65.35,79.34,0.0354,0.0,30.76,38.15,497.7,537.8,0.2588,0.9659,-0.9749,-0.2225,67.54,63.28,0.0361,0.8058,0.9015,0.6352,0.7206
2025-11-01 01:46:00,Order,2,69.07,68.88,88.34,0.0355,0.0,27.38,31.92,561.6,618.5,0.2588,0.9659,-0.9749,-0.2225,69.39,64.5,0.0325,0.8413,0.8951,0.666,0.7324
2025-11-01 01:47:00,Order,2,68.56,69.78,93.89,0.0354,0.0,30.64,36.75,564.4,607.6,0.2588,0.9659,-0.9749,-0.2225,69.08,66.85,0.0327,0.8085,0.8825,0.642,0.726
2025-11-01 01:48:00,Order,2,66.14,64.61,77.8,0.0352,0.0,29.55,32.91,544.2,591.7,0.2588,0.9659,-0.9749,-0.2225,64.47,61.06,0.038,0.8397,0.9155,0.632,0.719
2025-11-01 01:49:00,Order,2,62.06,60.73,80.41,0.035,0.0,29.16,32.49,557.1,610.1,0.2588,0.9659,-0.9749,-0.2225,63.91,57.69,0.0324,0.865,0.8703,0.6543,0.757
2025-11-01 01:50:00,Order,2,59.49,60.31,78.52,0.0349,0.0,28.28,32.95,571.3,623.7,0.2588,0.9659,-0.9749,-0.2225,60.16,57.81,0.0334,0.825,0.8936,0.6457,0.697
2025-11-01 01:51:00,Order,2,60.49,61.03,78.06,0.0349,0.0,25.85,30.33,558.3,594.4,0.2588,0.9659,-0.9749,-0.2225,59.97,56.79,0.0378,0.8041,0.8776,0.6549,0.7403
2025-11-01 01:52:00,Order,2,62.72,63.85,88.34,0.0349,0.0,28.26,32.57,554.4,616.5,0.2588,0.9659,-0.9749,-0.2225,63.49,61.12,0.0373,0.8426,0.9041,0.6348,0.7485
2025-11-01 01:53:00,Order,2,62.68,69.01,95.17,0.0349,0.0,27.69,33.33,559.0,588.5,0.2588,0.9659,-0.9749,-0.2225,62.51,66.3,0.0366,0.8181,0.8525,0.6296,0.7023
2025-11-01 01:54:00,Order,2,60.18,72.56,89.9,0.0348,0.0,28.58,33.89,602.1,632.9,0.2588,0.9659,-0.9749,-0.2225,58.71,68.27,0.0337,0.8367,0.8781,0.6675,0.7222
2025-11-01 01:55:00,Order,2,57.68,67.06,89.68,0.0347,0.0,27.18,31.66,550.5,579.8,0.2588,0.9659,-0.9749,-0.2225,58.0,64.27,0.0346,0.8238,0.858,0.6462,0.695
2025-11-01 01:56:00,Order,2,57.08,63.97,89.02,0.0347,0.0,22.77,28.29,536.8,591.2,0.2588,0.9659,-0.9749,-0.2225,57.02,61.69,0.0333,0.8506,0.9082,0.615,0.7433
2025-11-01 01:57:00,Order,2,58.62,65.63,81.31,0.0347,0.0,28.29,31.52,550.0,578.6,0.2588,0.9659,-0.9749,-0.2225,57.88,61.45,0.036,0.8409,0.8516,0.6511,0.7158
2025-11-01 01:58:00,Order,2,60.82,65.64,88.15,0.0348,0.0,21.98,27.46,524.8,576.0,0.2588,0.9659,-0.9749,-0.2225,61.33,62.9,0.0382,0.8452,0.8767,0.6375,0.7409
2025-11-01 01:59:00,Order,2,61.0,62.71,80.11,0.0348,0.0,26.34,32.48,535.8,590.0,0.2588,0.9659,-0.9749,-0.2225,59.22,61.28,0.0359,0.8453,0.8651,0.6327,0.7366
2025-11-01 02:00:00,Order,2,58.35,57.96,79.33,0.0346,0.0,24.98,31.14,572.1,605.8,0.5,0.866,-0.9749,-0.2225,58.18,55.44,0.0331,0.8224,0.891,0.6368,0.725
2025-11-01 02:01:00,Order,2,54.62,55.16,75.45,0.0344,0.0,24.01,26.57,561.3,617.1,0.5,0.866,-0.9749,-0.2225,53.11,52.38,0.0342,0.8419,0.8853,0.6466,0.7402
2025-11-01 02:02:00,Order,2,52.02,55.36,69.35,0.0343,0.0,23.01,27.04,552.6,608.2,0.5,0.866,-0.9749,-0.2225,52.36,54.12,0.0356,0.8731,0.8891,0.6959,0.7221
2025-11-01 02:03:00,Order,2,52.37,56.36,77.44,0.0343,0.0,24.7,29.74,529.2,572.0,0.5,0.866,-0.9749,-0.2225,53.29,52.82,0.0356,0.8583,0.8724,0.6736,0.7211
2025-11-01 02:04:00,Order,2,55.15,54.53,70.13,0.0344,0.0,26.5,33.1,533.8,581.9,0.5,0.866,-0.9749,-0.2225,55.72,52.36,0.0337,0.8586,0.8934,0.6513,0.769
